LGD,GDP_Growth_Percent,Inflation_Rate_Percent,Policy_Rate_Percent,Exposure_at_Default,Asset_Coverage_Value,Lending_Rate_Percent,Loan_Duration_Months,Risk_Score,Loan_Category,Applicant_Age,Employment_Status,Household_Income
0.2244,0.72,88.54,19.24,-216.7,19897.78,43.47,12,685.0,Agricultural,37,Self-Employed,4861.61
0.3807,2.23,31.3,38.54,49237.2,24987.54,34.51,43,527.0,Personal,46,Unemployed,10569.8
0.2527,1.01,90.19,32.44,50996.06,44265.93,33.25,33,376.0,Business,26,Employed,13337.1
0.1918,2.53,84.09,48.7,68724.18,33289.33,41.78,10,666.0,Personal,63,Unemployed,18515.7
0.0,0.84,69.7,49.29,53696.21,38403.19,40.62,8,589.0,Personal,29,Self-Employed,27492.15
0.0,1.34,125.57,49.64,75061.78,32502.95,40.05,49,652.0,Personal,37,Self-Employed,13859.97
0.432,2.44,104.17,29.38,57833.41,38091.16,46.87,36,486.0,Agricultural,51,Unemployed,7965.11
0.3375,1.27,63.07,54.9,81175.96,26038.54,36.84,52,799.0,Personal,32,Employed,17011.34
0.2801,2.26,101.76,38.51,41225.08,22324.88,42.56,47,623.0,Personal,43,Unemployed,21604.98
0.2047,1.43,109.89,51.26,52886.87,37636.98,35.95,25,347.0,Personal,25,Employed,15540.07
0.1978,3.48,87.64,29.97,66532.83,41273.74,33.21,24,547.0,Agricultural,63,Employed,10466.76
0.4201,3.07,92.23,32.01,38556.12,20857.19,37.72,53,716.0,Agricultural,56,Unemployed,19789.97
0.0946,0.17,91.77,37.74,34199.74,24240.55,36.01,16,737.0,Agricultural,56,Unemployed,18317.73
0.0683,2.02,43.28,36.52,37412.96,28367.74,36.41,45,572.0,Personal,23,Employed,9869.6
0.3734,0.68,81.26,47.55,35015.69,46198.25,49.32,8,792.0,Business,44,Employed,16907.13
0.1815,1.69,80.22,32.68,60451.24,35631.35,37.97,28,447.0,Business,37,Employed,19986.33
0.4688,1.57,113.6,46.65,13303.84,16759.13,34.7,12,526.0,Business,59,Employed,20909.45
1.0,0.44,91.67,42.32,18880.6,29070.17,40.22,28,794.0,Personal,46,Self-Employed,14667.76
0.2731,2.56,79.05,32.87,87254.93,27541.21,40.83,12,793.0,Business,24,Unemployed,13209.6
0.4417,1.7,83.2,41.55,35498.07,18267.3,30.5,51,677.0,Business,32,Employed,21136.37
0.4515,1.22,105.47,30.27,54000.3,28952.08,37.61,39,772.0,Business,21,Unemployed,8949.2
0.5143,1.06,81.31,58.5,20217.07,27099.63,37.29,47,349.0,Personal,41,Employed,17192.9
0.1985,1.64,71.04,8.36,51882.49,26383.67,38.62,24,776.0,Business,39,Unemployed,8149.87
0.0562,1.91,79.49,41.73,35619.87,25926.19,45.8,14,476.0,Business,41,Unemployed,20326.88
0.0131,1.38,103.81,17.35,18738.21,44713.94,41.09,53,398.0,Personal,38,Employed,13709.77
0.4422,-1.33,94.92,32.74,76738.41,26362.97,49.82,56,432.0,Agricultural,63,Employed,21342.92
0.2563,1.52,85.89,34.14,73651.31,30496.71,39.91,23,530.0,Business,23,Unemployed,17457.06
0.1201,0.06,88.83,50.08,47852.9,29412.35,54.21,46,438.0,Agricultural,64,Unemployed,8883.9
0.2907,1.29,73.81,28.08,69988.38,24949.83,36.31,53,476.0,Business,52,Unemployed,22123.14
0.2484,0.1,81.12,48.08,88065.85,30795.05,33.84,50,374.0,Personal,30,Self-Employed,22756.23
0.2731,0.08,71.73,23.21,65081.52,30653.51,44.38,47,463.0,Agricultural,60,Employed,19411.43
0.231,2.74,79.1,48.47,59593.59,30797.57,50.91,30,615.0,Agricultural,35,Self-Employed,11192.06
1.0,1.18,111.92,30.26,53978.99,21407.67,28.97,57,543.0,Agricultural,25,Self-Employed,13469.93
0.1228,1.1,63.44,35.73,62989.95,27938.75,38.42,19,491.0,Agricultural,24,Employed,15727.14
0.2443,1.98,71.23,31.64,42721.61,37603.22,35.11,49,711.0,Business,48,Employed,11481.45
0.1691,1.13,59.91,47.82,44467.28,28201.83,41.14,30,791.0,Business,24,Self-Employed,23461.73
0.363,3.6,55.58,45.88,59017.83,31617.82,40.08,24,716.0,Agricultural,35,Employed,15721.63
0.1594,1.23,81.26,39.44,40522.7,31670.37,50.76,44,483.0,Business,37,Unemployed,1483.26
0.098,1.87,72.65,23.48,42684.01,34173.95,39.13,20,709.0,Agricultural,64,Unemployed,16696.78
1.0,2.47,120.23,27.85,50003.73,35586.51,51.0,21,384.0,Agricultural,23,Self-Employed,13259.21
0.3065,3.1,79.34,24.71,73012.15,28258.49,37.48,32,372.0,Personal,30,Self-Employed,14625.37
0.0767,0.76,110.79,12.52,27346.72,20886.65,47.41,45,490.0,Agricultural,62,Employed,13156.9
0.4729,1.08,104.36,47.61,65183.57,17812.85,41.83,15,744.0,Business,43,Employed,19035.23
0.3157,2.77,80.82,31.72,65835.93,40176.86,53.84,9,435.0,Agricultural,38,Self-Employed,20598.44
0.2063,2.31,127.2,31.62,65716.24,37702.5,28.18,56,335.0,Personal,21,Self-Employed,16415.27
0.0387,2.58,90.37,49.96,33865.07,36493.65,30.69,24,372.0,Business,55,Unemployed,13303.44
0.4169,0.13,115.26,30.24,16146.37,38112.04,54.65,33,772.0,Personal,51,Unemployed,14793.31
0.3053,3.05,112.93,26.6,61194.01,28384.44,34.13,26,649.0,Personal,64,Employed,15098.0
1.0,0.74,93.29,32.75,53750.78,23751.24,34.64,52,439.0,Agricultural,21,Unemployed,10987.85
0.3197,1.69,100.02,23.67,70087.53,20195.93,32.99,19,605.0,Personal,23,Employed,17894.64
0.0,1.35,97.48,38.44,35989.26,19106.5,49.19,38,590.0,Personal,23,Employed,17300.21
0.2177,0.62,62.11,31.26,65202.37,42121.59,29.97,53,660.0,Business,57,Employed,22702.21
0.4234,0.09,86.15,29.93,71088.24,25068.55,40.18,15,428.0,Personal,39,Unemployed,21276.75
0.0858,-0.24,106.48,29.06,48093.81,40548.59,37.88,24,775.0,Agricultural,49,Self-Employed,11571.63
0.2411,1.62,115.52,33.94,58338.59,28131.14,48.29,35,470.0,Agricultural,45,Self-Employed,19101.49
0.1068,-0.03,70.59,35.83,57639.33,23237.59,35.49,27,682.0,Agricultural,53,Unemployed,10245.23
0.394,0.37,95.58,29.8,33570.61,19056.35,43.32,8,309.0,Personal,56,Self-Employed,18479.66
0.2557,1.28,88.02,31.41,60621.93,24118.46,30.63,42,505.0,Business,49,Employed,12416.93
0.3841,-1.14,82.64,34.18,82449.97,44182.39,58.19,46,493.0,Agricultural,46,Self-Employed,9883.73
0.3661,2.28,92.12,33.18,50444.08,19157.9,38.08,23,599.0,Personal,24,Unemployed,16400.23
0.5816,-0.91,89.36,35.31,20781.5,51167.47,40.07,16,340.0,Agricultural,34,Self-Employed,1627.16
0.5622,1.42,95.83,28.23,36255.47,21593.93,53.24,53,735.0,Agricultural,47,Employed,6245.12
0.0884,1.52,113.83,45.05,14411.41,37499.5,35.31,7,420.0,Business,53,Employed,14112.54
0.3446,2.04,100.68,35.97,75805.22,28547.49,53.34,17,672.0,Agricultural,42,Unemployed,15412.21
0.6096,1.46,91.21,29.96,65282.11,26794.4,36.71,59,742.0,Business,23,Unemployed,13153.41
0.3141,3.52,122.29,38.44,39972.61,17285.79,45.37,11,609.0,Personal,43,Unemployed,7102.82
0.6479,1.72,107.2,34.26,21638.8,29016.07,35.42,48,707.0,Agricultural,41,Employed,10910.54
0.2265,2.55,83.15,17.66,33334.1,18417.14,29.15,45,664.0,Personal,61,Self-Employed,16956.05
0.4532,0.78,60.66,38.41,37234.46,13184.23,43.32,49,496.0,Personal,43,Self-Employed,17908.91
0.5996,1.62,65.24,24.8,52188.15,31195.99,45.12,34,745.0,Personal,24,Unemployed,14918.88
0.1362,3.05,103.66,44.34,51515.19,23645.77,29.47,35,462.0,Agricultural,41,Self-Employed,20784.17
0.2361,1.26,72.39,32.58,76828.64,46843.49,37.54,7,614.0,Business,57,Self-Employed,16986.99
0.6047,1.69,64.84,42.8,36144.9,40000.22,49.61,14,710.0,Agricultural,63,Unemployed,11262.72
0.0,2.48,69.84,28.7,19836.24,46974.32,44.8,52,508.0,Personal,51,Unemployed,13597.49
0.4004,0.76,71.25,35.7,26860.43,23191.17,36.84,7,467.0,Business,41,Employed,7985.67
0.4508,-0.66,102.01,47.1,49539.5,31361.38,35.22,34,553.0,Personal,46,Employed,14459.31
0.1848,1.76,81.87,32.31,35426.44,3793.29,55.59,38,750.0,Business,61,Employed,20560.5
0.4102,2.49,57.55,29.09,44159.83,27181.98,28.42,15,811.0,Agricultural,55,Employed,18426.45
0.3497,0.15,85.62,41.55,40919.33,30984.98,39.53,39,600.0,Business,58,Self-Employed,22010.05
0.1756,2.17,89.45,41.36,69804.77,31540.48,28.28,49,664.0,Agricultural,44,Self-Employed,13485.57
0.2053,2.18,75.41,29.51,38260.69,29576.32,50.52,13,797.0,Personal,31,Employed,21730.5
0.6086,-0.77,108.12,15.15,42453.16,30665.93,39.94,42,354.0,Business,61,Employed,14033.48
0.1417,0.56,76.58,28.9,64345.67,2867.57,41.43,59,428.0,Personal,49,Unemployed,22357.93
0.4359,1.1,107.17,41.77,38700.36,32562.22,62.15,38,690.0,Business,23,Self-Employed,14890.72
0.3082,1.32,96.94,27.25,58464.25,34834.4,35.25,52,753.0,Agricultural,21,Self-Employed,18536.16
0.455,0.76,103.53,34.89,56629.71,43380.25,53.99,11,771.0,Business,39,Employed,22375.56
0.4275,0.7,63.03,28.43,52835.32,33687.38,36.87,49,528.0,Business,42,Self-Employed,14032.86
0.2782,3.17,86.97,15.68,27312.07,28692.63,38.13,45,349.0,Agricultural,34,Unemployed,16091.94
0.1852,1.39,83.94,28.25,74595.48,41049.42,61.11,50,541.0,Agricultural,34,Unemployed,21444.32
0.5553,0.8,56.56,41.73,94413.68,6426.66,38.71,24,427.0,Agricultural,64,Self-Employed,14334.98
0.0,1.46,107.1,11.3,50176.56,24850.51,29.01,37,460.0,Business,36,Employed,8395.54
0.3218,2.04,68.65,37.52,29072.9,22341.9,42.26,32,725.0,Personal,53,Self-Employed,25715.04
0.294,1.55,72.81,23.14,50582.05,29654.78,38.62,6,342.0,Business,33,Unemployed,12651.18
0.1254,1.29,64.73,41.08,69797.2,8013.07,42.94,48,755.0,Business,58,Employed,15793.78
0.4444,0.85,99.02,42.14,37696.25,43196.36,38.93,57,535.0,Personal,32,Self-Employed,20780.03
0.5758,0.84,54.48,33.28,47422.02,27501.9,57.72,38,628.0,Agricultural,58,Employed,11957.53
1.0,0.9,97.36,33.3,56813.08,33187.97,44.45,45,349.0,Business,59,Employed,9960.66
0.1417,1.84,105.89,26.94,74060.96,32230.91,31.4,37,486.0,Personal,53,Unemployed,16268.69
0.1873,0.51,95.74,21.54,65508.47,42624.9,41.0,10,349.0,Agricultural,53,Employed,6034.62
0.1913,1.89,99.25,51.98,66337.36,11380.5,33.6,22,829.0,Agricultural,49,Self-Employed,13560.47
0.0,2.91,100.19,26.35,41474.63,31123.21,38.02,13,744.0,Business,25,Employed,16225.19
0.2595,1.83,66.01,50.68,58038.38,41461.78,32.72,47,553.0,Agricultural,26,Employed,13650.24
0.116,1.13,113.69,26.4,35560.73,29020.14,56.86,39,423.0,Agricultural,51,Self-Employed,7282.75
0.5879,0.2,75.8,40.25,66910.52,20487.31,34.47,14,813.0,Personal,36,Unemployed,22970.89
0.1418,3.08,83.67,23.62,73024.39,23961.1,45.5,28,490.0,Personal,51,Unemployed,15517.69
0.2671,0.33,78.35,40.23,61067.27,26070.58,37.41,40,389.0,Agricultural,45,Self-Employed,22155.76
0.1693,2.35,94.83,31.74,42651.79,22789.5,30.73,55,610.0,Personal,53,Self-Employed,13699.82
0.5051,2.14,74.24,31.87,45925.46,28471.89,41.58,12,819.0,Agricultural,33,Unemployed,10599.94
0.2152,1.26,86.34,41.1,86130.32,45082.47,43.21,20,302.0,Business,30,Employed,16345.9
0.3027,1.24,60.29,30.31,42985.79,24026.35,44.47,58,431.0,Personal,44,Self-Employed,13921.06
0.6043,-0.34,108.29,20.72,70999.88,25123.26,19.02,59,816.0,Agricultural,30,Employed,9111.19
0.2264,1.83,98.41,42.61,56777.83,34597.81,30.12,25,394.0,Agricultural,61,Self-Employed,22348.92
0.33,2.12,79.15,23.54,43317.27,28251.8,47.66,55,362.0,Personal,51,Unemployed,11888.65
0.1553,0.41,75.62,40.17,23107.02,16708.15,32.61,30,614.0,Personal,33,Employed,5798.67
0.264,1.34,97.89,44.73,54232.01,29388.12,41.62,8,774.0,Business,23,Employed,21640.83
0.3871,1.54,70.85,31.25,51822.02,29011.09,29.94,51,562.0,Agricultural,54,Self-Employed,12478.51
0.122,2.08,87.51,46.82,86130.69,39756.78,45.85,29,847.0,Business,48,Employed,11960.88
0.2307,1.5,108.23,39.82,32796.15,20278.48,47.45,39,674.0,Business,39,Self-Employed,6173.06
0.3374,-0.13,68.77,28.04,95895.37,39823.19,45.86,51,341.0,Business,43,Unemployed,23704.71
0.0724,0.97,92.37,49.01,57576.21,29021.69,48.26,27,846.0,Personal,52,Employed,8552.6
0.3782,1.72,91.31,23.58,57556.58,18920.58,52.51,16,524.0,Business,33,Self-Employed,15292.25
1.0,2.34,83.05,31.23,38138.56,16912.22,30.61,53,458.0,Personal,53,Employed,19563.1
0.1973,0.88,74.92,32.94,56294.13,49343.89,33.69,13,607.0,Personal,54,Self-Employed,17108.58
0.2872,3.69,109.3,41.05,59461.02,28400.84,47.18,44,467.0,Business,53,Self-Employed,14701.73
0.6008,-0.39,73.05,46.15,68746.55,39365.04,49.04,48,348.0,Business,25,Self-Employed,6491.67
0.0971,0.94,48.76,45.53,30433.56,12918.81,34.61,40,301.0,Agricultural,23,Unemployed,10951.38
0.275,1.42,97.81,37.24,78135.62,56376.95,34.05,54,547.0,Business,27,Employed,15939.0
0.5046,1.3,60.97,32.2,57228.31,38932.45,34.78,51,760.0,Agricultural,44,Unemployed,11064.13
0.1595,0.27,98.84,16.74,62164.58,27445.6,27.16,43,615.0,Business,42,Self-Employed,16016.8
0.2144,1.95,111.7,21.86,45581.15,26938.34,29.83,13,850.0,Business,43,Self-Employed,18408.72
0.4632,1.87,97.59,52.67,31437.15,37345.98,30.02,59,458.0,Business,50,Unemployed,19812.51
0.2781,1.55,106.43,16.64,51454.49,36771.82,37.65,42,454.0,Business,38,Unemployed,8869.1
0.185,1.83,125.4,27.16,53745.91,31825.29,42.17,32,388.0,Agricultural,52,Employed,25983.23
0.1146,1.08,104.34,46.45,22291.43,30108.79,43.47,33,390.0,Agricultural,27,Self-Employed,18837.4
0.4229,-0.12,91.61,37.1,65865.71,35610.67,35.93,45,457.0,Business,53,Unemployed,14991.43
0.6441,0.78,117.68,44.28,69930.49,12582.96,36.13,39,736.0,Business,25,Self-Employed,20447.68
0.3083,1.66,120.1,40.43,35406.71,26287.25,40.99,37,798.0,Agricultural,48,Self-Employed,26827.04
0.4106,1.66,120.38,49.7,29548.29,13531.36,28.03,20,836.0,Personal,28,Employed,7806.4
0.1961,1.54,75.16,37.95,43940.77,36045.92,47.68,49,428.0,Personal,35,Employed,13873.69
0.1389,2.05,57.92,41.63,50477.9,23241.86,50.28,22,785.0,Personal,24,Employed,3107.84
0.0985,0.92,73.94,27.76,44716.58,14284.22,35.0,38,481.0,Agricultural,54,Unemployed,15963.26
0.0,1.53,99.07,40.86,48781.64,22062.13,36.81,52,362.0,Agricultural,25,Self-Employed,16826.97
0.5074,2.07,88.18,31.04,54429.55,31493.56,49.95,51,779.0,Personal,53,Unemployed,14804.19
0.2365,1.42,80.87,30.47,22634.62,27947.72,39.02,57,650.0,Personal,25,Unemployed,11727.33
0.4056,0.26,96.21,43.95,24934.09,18268.43,44.71,59,391.0,Business,58,Employed,4752.43
0.2649,0.54,55.58,44.02,-4445.55,12951.31,39.26,21,536.0,Agricultural,54,Self-Employed,16867.67
0.3808,2.33,87.82,51.88,68850.9,30739.33,52.45,34,458.0,Agricultural,46,Self-Employed,22277.17
0.2253,2.89,107.37,51.23,50304.54,24192.32,43.92,14,705.0,Personal,21,Employed,12044.91
0.0452,2.68,95.99,44.17,70957.02,27419.19,44.38,38,549.0,Personal,24,Self-Employed,17200.3
0.1644,1.73,98.84,17.8,27245.24,28403.15,44.53,54,844.0,Agricultural,59,Employed,7159.28
0.1914,0.3,116.95,53.28,50488.15,34300.66,35.56,34,330.0,Business,46,Unemployed,17286.07
0.2616,1.49,83.68,44.18,54296.53,38469.47,36.29,18,495.0,Personal,53,Unemployed,13033.09
0.3564,3.06,71.94,27.34,38764.35,31465.09,46.15,26,565.0,Agricultural,53,Employed,11187.91
0.0807,2.12,108.79,42.29,18931.44,26795.37,41.01,26,577.0,Agricultural,28,Unemployed,11198.18
0.1085,1.29,108.42,24.63,84917.43,30247.64,30.58,10,474.0,Business,40,Unemployed,13031.94
0.2455,2.13,96.17,41.19,77985.67,26607.63,54.98,15,701.0,Business,36,Employed,16912.17
0.5454,0.23,81.79,21.84,42361.35,13574.47,47.82,11,781.0,Personal,41,Unemployed,8439.18
0.3355,0.8,85.03,26.92,60204.55,40919.46,40.3,56,816.0,Personal,46,Self-Employed,13014.42
0.1119,0.42,59.46,42.1,40304.19,39034.39,37.81,18,743.0,Personal,43,Unemployed,14792.64
0.0786,1.97,107.26,45.73,30091.93,49883.34,41.59,6,768.0,Agricultural,38,Employed,9504.8
0.2232,2.21,106.55,38.25,86545.23,52804.99,44.14,25,603.0,Personal,51,Self-Employed,23983.33
0.2393,1.35,58.77,32.14,16892.62,18239.8,23.74,52,754.0,Agricultural,62,Self-Employed,10732.52
0.4692,0.63,102.35,13.85,44289.93,26646.0,56.9,51,467.0,Personal,32,Unemployed,11652.82
0.1093,1.48,93.08,32.91,51686.48,55115.4,33.68,13,519.0,Business,21,Self-Employed,10108.46
0.3508,1.01,64.56,40.33,83024.73,29594.49,39.98,15,474.0,Business,62,Employed,23992.4
0.1147,0.7,60.88,31.83,67931.77,32442.11,40.28,14,557.0,Agricultural,29,Self-Employed,17764.53
0.521,1.84,92.47,34.77,16555.0,14788.7,55.97,54,457.0,Business,23,Unemployed,10317.04
0.4629,0.74,77.05,33.14,49945.0,31502.89,39.3,46,829.0,Agricultural,46,Unemployed,20531.16
0.4458,-0.07,121.4,31.78,50421.2,49319.4,52.71,8,472.0,Agricultural,29,Self-Employed,16003.49
0.4507,0.16,104.05,35.76,45433.23,42866.26,43.25,16,354.0,Business,62,Employed,16286.27
0.2078,-0.1,94.47,32.27,62396.18,23900.15,32.3,17,590.0,Agricultural,36,Employed,13277.61
0.5531,1.75,95.46,49.43,21817.86,26036.84,41.08,15,331.0,Business,44,Unemployed,11252.92
0.2414,1.65,111.62,12.94,41827.28,18691.0,39.05,30,361.0,Personal,34,Unemployed,16688.83
0.3522,1.6,101.93,29.54,59576.37,21488.37,31.33,54,421.0,Personal,23,Employed,12274.56
0.5623,2.09,95.0,26.3,63591.51,10897.88,42.86,54,555.0,Business,54,Self-Employed,24083.78
0.066,2.69,65.39,37.19,52988.39,29151.8,40.18,30,538.0,Business,53,Self-Employed,8653.54
0.478,0.91,146.24,35.77,44232.16,45101.11,44.45,16,740.0,Business,44,Self-Employed,22680.78
0.362,1.91,62.94,51.22,47601.17,33554.32,41.55,59,707.0,Business,29,Self-Employed,14443.41
0.4016,-0.08,78.75,54.51,64808.14,43662.39,34.79,41,534.0,Personal,33,Employed,16495.43
0.1448,2.88,51.91,27.27,50678.02,40732.49,46.15,44,484.0,Agricultural,22,Unemployed,19165.79
0.1485,0.26,95.78,35.01,29163.05,24531.92,35.0,58,474.0,Agricultural,27,Unemployed,11848.75
0.2673,0.79,88.02,36.96,25330.05,22404.93,15.2,31,726.0,Personal,41,Self-Employed,19321.24
0.2665,0.9,100.31,27.02,20207.25,22788.15,41.03,19,329.0,Agricultural,39,Employed,1462.28
0.2017,-0.03,50.22,41.28,79111.62,12829.38,35.57,44,307.0,Personal,45,Employed,11400.05
0.5191,1.53,107.26,32.6,66149.24,30323.3,43.06,45,738.0,Agricultural,42,Self-Employed,10379.69
0.0126,1.71,68.85,24.32,47870.24,955.36,55.99,6,562.0,Business,31,Self-Employed,8732.47
0.2301,1.31,82.02,32.2,40924.15,35914.16,56.22,59,372.0,Business,53,Self-Employed,13925.23
0.0892,-0.04,103.63,25.02,38521.4,30718.81,38.68,9,430.0,Business,52,Unemployed,16928.75
0.5437,3.48,90.23,45.37,71864.74,34714.4,33.39,35,813.0,Personal,41,Self-Employed,18513.3
0.3381,2.05,91.64,54.02,88088.67,40570.16,44.68,17,773.0,Personal,59,Unemployed,16204.38
0.221,4.13,100.98,37.45,37892.14,31987.95,37.04,40,690.0,Agricultural,40,Employed,11671.53
0.1223,0.69,93.58,36.11,72768.31,46315.72,43.13,18,565.0,Agricultural,28,Employed,16845.08
1.0,2.46,78.18,36.52,50560.26,36219.46,34.71,57,586.0,Agricultural,62,Unemployed,15621.43
0.1,2.28,81.67,46.82,45751.42,22428.73,42.01,36,836.0,Personal,57,Unemployed,19680.28
0.3376,1.21,89.24,46.61,80084.29,27622.89,33.5,43,831.0,Agricultural,29,Unemployed,18884.68
0.5829,2.91,67.09,33.84,49796.69,7387.09,49.47,48,418.0,Business,45,Unemployed,15152.38
0.549,1.09,104.92,37.53,55927.29,20978.1,35.28,28,746.0,Agricultural,45,Self-Employed,10513.73
0.1444,1.14,90.77,41.53,54965.48,26190.04,45.29,9,408.0,Business,53,Employed,11735.25
0.5398,-1.97,86.5,23.62,17488.01,35462.74,29.88,57,417.0,Personal,22,Self-Employed,12251.05
0.0491,1.91,108.85,47.13,55768.22,22496.39,46.25,21,672.0,Business,39,Unemployed,13423.67
0.0,0.17,82.6,52.35,38746.16,17537.36,32.27,12,523.0,Business,40,Self-Employed,16340.25
0.1507,0.95,81.35,46.65,21576.94,11124.68,42.09,27,812.0,Business,62,Self-Employed,18575.87
0.0398,0.47,75.31,22.54,39657.26,24035.82,48.19,34,349.0,Personal,61,Employed,14744.41
0.0,1.13,91.86,15.3,39492.22,49508.52,38.4,16,581.0,Personal,62,Self-Employed,15080.62
0.4703,1.94,91.17,42.09,70597.65,32711.07,31.77,38,805.0,Personal,49,Employed,15716.53
0.4593,1.51,71.67,27.4,28724.21,39395.79,43.97,34,797.0,Personal,26,Unemployed,12420.47
0.2929,2.21,81.45,37.87,34203.05,20999.46,33.27,44,386.0,Agricultural,37,Self-Employed,10373.04
0.3253,2.77,71.81,50.35,54707.77,14265.5,36.77,17,502.0,Personal,45,Unemployed,6222.81
0.6083,1.13,70.9,28.43,23484.12,17789.23,42.12,12,641.0,Business,58,Employed,11524.25
0.228,1.02,50.4,31.22,36819.86,29028.69,50.89,44,388.0,Personal,24,Unemployed,17365.73
0.3286,2.46,80.38,37.77,16710.47,10058.71,40.21,47,832.0,Agricultural,50,Unemployed,11485.44
0.1889,2.54,50.96,22.02,68400.23,19934.1,40.18,53,803.0,Agricultural,40,Employed,13810.96
0.4759,2.24,75.74,27.42,43972.74,24136.39,45.9,31,392.0,Agricultural,23,Unemployed,17332.16
0.462,0.55,72.75,35.25,49681.64,16790.75,40.4,45,367.0,Business,43,Unemployed,17603.45
0.3355,1.92,106.04,32.0,68320.21,8763.17,45.08,14,347.0,Personal,38,Unemployed,9602.34
1.0,1.61,64.7,41.08,35554.62,32896.54,48.63,46,800.0,Personal,46,Self-Employed,19985.3
0.301,2.55,69.78,62.66,43760.26,30458.71,37.38,39,406.0,Personal,56,Unemployed,20636.75
0.3272,0.93,77.37,35.99,28873.44,37790.3,13.8,50,529.0,Business,28,Employed,9350.75
0.0676,-0.17,73.4,26.58,28829.93,18895.74,33.46,18,547.0,Business,37,Self-Employed,10880.82
0.3328,2.19,112.39,49.18,31588.34,37599.23,49.67,41,629.0,Agricultural,51,Self-Employed,20955.45
0.5689,-1.06,62.23,19.11,40150.19,45293.04,39.73,30,339.0,Agricultural,57,Employed,14265.73
0.1687,0.77,77.41,21.11,42304.09,32622.15,37.29,29,425.0,Personal,53,Unemployed,3901.11
0.3235,0.48,91.64,29.05,55772.64,23900.64,49.33,49,812.0,Business,47,Self-Employed,8001.59
0.2595,0.47,102.62,32.17,32175.66,31450.81,39.19,22,800.0,Business,24,Self-Employed,13753.15
0.2107,0.75,77.4,28.81,56392.65,23422.13,23.26,7,730.0,Personal,42,Self-Employed,9184.79
0.4454,2.72,46.64,34.68,59700.03,21757.16,27.96,18,311.0,Personal,46,Unemployed,12932.88
0.1925,2.32,82.0,37.75,40643.56,36832.6,43.35,36,480.0,Agricultural,52,Self-Employed,15161.98
0.4216,1.25,112.04,45.69,33905.51,28609.5,39.46,34,645.0,Agricultural,44,Employed,22311.27
0.3148,2.63,90.64,35.91,51701.58,42050.96,51.64,55,451.0,Agricultural,55,Unemployed,13547.73
0.0892,0.44,89.73,29.38,45941.65,25575.77,34.13,33,800.0,Personal,57,Employed,20362.71
0.1814,0.3,63.74,45.15,54407.04,26588.25,37.52,32,649.0,Personal,52,Employed,22143.8
0.0,2.36,61.69,26.82,81397.33,24334.89,32.92,20,340.0,Agricultural,27,Self-Employed,22171.55
0.1912,2.08,85.36,18.67,51372.74,18798.17,35.84,36,800.0,Agricultural,53,Self-Employed,16423.77
0.2546,1.04,56.47,47.06,37215.39,38144.25,24.86,45,827.0,Business,51,Self-Employed,5183.55
0.2626,0.36,100.63,46.42,32182.21,51857.12,36.91,20,343.0,Business,32,Employed,17304.12
0.1869,2.96,68.07,27.08,32955.97,26177.73,39.59,38,593.0,Agricultural,31,Unemployed,20242.0
0.1236,-0.22,84.51,31.01,20744.67,23195.04,38.91,25,467.0,Agricultural,44,Self-Employed,14594.66
0.3591,0.9,47.28,25.83,68654.87,22546.77,57.2,47,516.0,Business,28,Self-Employed,23722.92
0.0072,1.73,77.12,38.27,5334.42,23202.67,54.67,17,399.0,Agricultural,52,Employed,19299.17
0.2254,3.3,61.28,52.32,59762.1,46497.84,33.99,42,618.0,Business,58,Unemployed,17841.37
0.3683,1.88,38.56,42.03,32638.72,22815.19,23.65,14,827.0,Business,42,Employed,20431.9
0.4701,1.98,95.84,45.36,39751.9,24147.33,39.21,28,577.0,Business,54,Self-Employed,16666.85
0.2334,0.93,117.82,43.2,32040.25,17596.46,43.01,13,346.0,Personal,39,Employed,2535.95
0.6046,2.07,107.59,35.0,78917.29,32936.49,33.12,37,641.0,Personal,40,Self-Employed,12504.31
